"ID Bài viết","Tiêu đề","Chuyên mục","Trạng thái","Số ảnh thiếu","Chi tiết tên ảnh thiếu","Đường dẫn cũ"
"20530","Trại giam Quảng Ninh tổ chức lễ công bố quyết định đặc xá của Chủ tịch nước dịp 30/4","Bản tin","published","6","screenshot_1747126139.png; screenshot_1747128294.png; screenshot_1747127437(1).png; screenshot_1747127573.png; screenshot_1747127874.png; screenshot_1747128043.png","/trai-giam-quang-ninh-to-chuc-le-cong-bo-quyet-dinh-dac-xa-cua-chu-tich-nuoc-dip-30-4.html"
"20531","Tập huấn tăng cường năng lực cho chỉ huy, cán bộ công an cấp xã trong công tác Thi hành án hình sự tại cộng đồng và tái hòa nhập cộng đồng.","Bản tin","published","19","197A5593(1).jpg; Sequence 01_00_08_25_20_Still009.jpg; 123CD.jpg; Sequence 01_00_10_31_00_Still012.jpg; 197A5598.jpg; 197A5635.jpg; 123E (2).jpg; 12QAD.jpg; 197A5625.jpg; 197A5627.jpg; Anh toan 303.jpg; Canh toan.jpg; CVDAZ.jpg; Cảnh toàn 3.jpg; ETYU.jpg; Dai bieu 3.jpg; LOUY.jpg; Lương Manh Thuyết, PTP PC10 Hai Duong.jpg; QETYG.jpg","/hai-duong-tang-cuong-nang-luc-cho-can-bo-xa-trong-cong-tac-thi-hanh-an-hinh-su-tai-cong-dong-va-tai-hoa-nhap-cong-dong.html"
"20532","HÀ NAM: Phiên giao dịch việc làm cho người CHXAPT trở về hòa nhập cộng đồng ở Hà Nam","Mô hình tái hòa nhập","published","6","IMG_1227.JPG; imgp0550.jpg; imgp0582.jpg; imgp0591.jpg; imgp0602.jpg; imgp0620.jpg","/phien-giao-dich-viec-lam-cho-nguoi-chxapt-tro-ve-hoa-nhap-cong-dong-o-ha-nam.html"
"20533"," Toàn văn Quyết định 266/2025/QĐ-CTN về đặc xá năm 2025","Văn bản","published","7","1-1741070358480157287280.jpg; 2dacxa-17410703737251271190733.jpg; 3daxa-1741070385403287507025.jpg; 4-17410703961051789311965.jpg; 5-1741070406566739426424.jpg; 6-17410704177911201519540.jpg; 7-1741070427208150659441.jpg","/toan-van-quyet-dinh-266-2025-qd-ctn-ve-dac-xa-nam-2025.html"
"20534","NGHỊ ĐỊNH SỐ 49/2020/NĐ-CP, ngày 17/04/2020 QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT THI HÀNH ÁN HÌNH SỰ VỀ TÁI HÒA NHẬP CỘNG ĐỒNG","Văn bản","published","13","01.jpeg; 02.jpeg; 03.jpeg; 04.jpeg; 05.jpeg; 06.jpeg; 07.jpeg; 08.jpeg; 09.jpeg; 10.jpeg; 11.jpeg; 13.jpeg; 14.jpeg","/nghi-dinh-so-49-2020-nd-cp-ngay-17-04-2020-quy-dinh-chi-tiet-thi-hanh-luat-thi-hanh-an-hinh-su-ve-tai-hoa-nhap-cong-dong.html"
"20535","ẢNH: Hội nghị bàn về Cơ chế tín dụng dành cho người chấp hành xong án phạt tù, giữa Cục C11 và Ngân hàng CSXH Việt Nam","Thư viện ảnh - video","published","7","screenshot_1747800640.png; screenshot_1747800896.png; screenshot_1747800731.png; screenshot_1747800758.png; screenshot_1747800777.png; screenshot_1747800794.png; screenshot_1747800868.png","/hoi-nghi-ban-ve-co-che-tin-dung-danh-cho-nguoi-chap-hanh-xong-an-phat-tu-giua-cuc-c11-va-ngan-hang-csxh-viet-nam.html"
"20536","Các mô hình và cá nhân tiêu biểu về công tác THNCĐ ở Đồng Tháp","Mô hình tái hòa nhập","published","10","01(1).jpg; 02.jpg; 03(1).jpg; 04.jpg; 05.jpg; 05(1).jpg; 07(1).jpg; 08.jpg; 09.jpg; screenshot_1747802913.png","/cac-mo-hinh-va-ca-nhan-tieu-bieu-ve-cong-tac-thncd-o-dong-thap.html"
"20537","Một số giải pháp nâng cao hiệu quả tái hòa nhập cộng đồng đối với người chấp hành xong án phạt tù","Bản tin","published","3","download.jpg; 02.jpg; anh-duyen-o-tien-yen.jpg","/mot-so-giai-phap-nang-cao-hieu-qua-tai-hoa-nhap-cong-dong.html"
"20538","ẢNH: TẬP HUẤN CÔNG TÁC THAM MƯU, TỔNG HỢP, TẠM GIỮ TẠM GIAM, HTTP VÀ THAHS TẠI CỘNG ĐỒNG NĂM 2022 Ở LÀO CAI","Thư viện ảnh - video","published","19","DSC01099.JPG; DSC01115.JPG; DSC01137.JPG; DSC01145.JPG; DSC01149.JPG; DSC01157.JPG; DSC01125.JPG; DSC01159.JPG; DSC01122.JPG; DSC01215.JPG; DSC01210.JPG; DSC01219.JPG; DSC01220.JPG; DSC01188.JPG; DSC01191.JPG; DSC01192.JPG; DSC01171.JPG; DSC01177.JPG; DSC01164.JPG","/tap-huan-cong-tac-tham-muu-tong-hop-tam-giu-tam-giam-http-va-thahs-tai-cong-dong-nam-2022-o-lao-cai.html"
"20539","CHỈ THỊ 33 VỀ TĂNG CƯỜNG CÁC BIỆN PHÁP BẢO ĐẢM TÁI HÒA NHẬP CỘNG ĐỒNG ĐỐI VỚI NGƯỜI CHẤP HÀNH XONG ÁN PHẠT TÙ","Văn bản","published","4","IMG_0920.JPEG; IMG_0921.JPEG; IMG_0922.JPEG; IMG_0923.JPEG","/chi-thi-33-ve-tang-cuong-cac-bien-phap-bao-dam-tai-hoa-nhap-cong-dong-doi-voi-nguoi-chap-hanh-xong-an-phat-tu.html"
